type,lat,lon,activity_score,year,nightlights,ndbi
guest_house,-1.9593295,30.1414237,1,2015,8.298831,0.05951469704160032
clinic,-1.9411134,30.0616204,1,2015,28.680727,0.05951469704160032
cosmetics,-1.979028,30.10421949999999,1,2015,11.582306,0.05951469704160032
government,-1.941317,30.088933000000004,1,2015,20.363493,0.05951469704160032
school,-1.9471704,30.134723200000003,1,2015,9.800517,0.05951469704160032
school,-1.9843162,30.0494415,1,2015,3.4618623,0.05951469704160032
bakery,-1.974026,30.05430949999999,1,2015,10.799793,0.05951469704160032
supermarket,-1.9127495,30.0763628,1,2015,8.321276,0.05951469704160032
bar,-1.9132211,30.0868461,1,2015,8.129913,0.05951469704160032
government,-1.9342076,30.08038639999999,1,2015,21.976782,0.05951469704160032
community_centre,-1.9770018000000005,30.0801399,1,2015,10.390729,0.05951469704160032
company,-1.9426426999999995,30.089122700000004,1,2015,20.363493,0.05951469704160032
restaurant,-1.9651606,30.0590678,1,2015,17.017933,0.05951469704160032
hotel,-1.9425837,30.043335300000003,1,2015,22.349237,0.05951469704160032
supermarket,-1.9611102,30.0768071,1,2015,15.591029,0.05951469704160032
restaurant,-1.9445164,30.1022366,1,2015,14.212892,0.05951469704160032
hotel,-1.944388,30.1018913,1,2015,14.212892,0.05951469704160032
bar,-1.9580289,30.114728300000003,1,2015,24.774372,0.05951469704160032
guest_house,-1.9460787,30.089065600000005,1,2015,20.043005,0.05951469704160032
guest_house,-1.9406894,30.061648599999995,1,2015,28.680727,0.05951469704160032
company,-1.9721949,30.0851183,1,2015,13.937266,0.05951469704160032
bank,-1.9466851,30.0570628,1,2015,39.92476,0.05951469704160032
bank,-1.9468523,30.056846900000004,1,2015,39.92476,0.05951469704160032
supermarket,-1.9466465,30.057327900000004,1,2015,39.92476,0.05951469704160032
restaurant,-1.961654,30.0950916,1,2015,8.667808,0.05951469704160032
ngo,-1.9577367,30.094865400000003,1,2015,15.316382,0.05951469704160032
restaurant,-1.9310358,30.083881800000004,1,2015,13.095353,0.05951469704160032
school,-1.9663828,30.1033272,1,2015,10.601174,0.05951469704160032
artwork,-1.939398,30.059046899999995,1,2015,34.786793,0.05951469704160032
community_centre,-1.9394605,30.089783200000003,1,2015,20.363493,0.05951469704160032
guest_house,-1.9605889000000003,30.135940100000003,1,2015,17.214191,0.05951469704160032
guest_house,-1.9688134,30.1056559,1,2015,9.06964,0.05951469704160032
hotel,-1.9471199,30.061155400000004,1,2015,45.0858,0.05951469704160032
company,-1.9664457,30.1026299,1,2015,10.601174,0.05951469704160032
diplomatic,-1.9468499,30.06725859999999,1,2015,40.423325,0.05951469704160032
hotel,-1.9483905,30.0672526,1,2015,35.257446,0.05951469704160032
alcohol,-1.8677032,30.0873229,1,2015,1.2444608,0.05951469704160032
hardware,-1.9600019,30.120212500000004,1,2015,17.7866,0.05951469704160032
clothes,-1.966035,30.059401399999995,1,2015,16.020905,0.05951469704160032
ngo,-1.9466096,30.0886148,1,2015,20.043005,0.05951469704160032
ngo,-1.9461191,30.0878155,1,2015,20.043005,0.05951469704160032
restaurant,-1.9476841,30.0592467,1,2015,28.444098,0.05951469704160032
restaurant,-1.9642409,30.059540500000004,1,2015,17.017933,0.05951469704160032
supermarket,-1.9552064,30.097062,1,2015,24.753271,0.05951469704160032
